Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Kyle Larson (42575282),Kyle Larson,42575282,D,15500,Suburban Propane 300,Nasca,75.38
D,Justin Allgaier (42575283),Justin Allgaier,42575283,D,12500,Suburban Propane 300,Nasca,54.48
D,Connor Zilisch (42575284),Connor Zilisch,42575284,D,12000,Suburban Propane 300,Nasca,27.88
D,Brent Crews (42575285),Brent Crews,42575285,D,10000,Suburban Propane 300,Nasca,26.44
D,Carson Kvapil (42575286),Carson Kvapil,42575286,D,9700,Suburban Propane 300,Nasca,26.95
D,Corey Day (42575287),Corey Day,42575287,D,9500,Suburban Propane 300,Nasca,42.3
D,William Sawalich (42575288),William Sawalich,42575288,D,9300,Suburban Propane 300,Nasca,24.79
D,Sam Mayer (42575289),Sam Mayer,42575289,D,9000,Suburban Propane 300,Nasca,12.84
D,Sheldon Creed (42575290),Sheldon Creed,42575290,D,8800,Suburban Propane 300,Nasca,40.49
D,Sammy Smith (42575291),Sammy Smith,42575291,D,8500,Suburban Propane 300,Nasca,38.62
D,Jesse Love (42575292),Jesse Love,42575292,D,8200,Suburban Propane 300,Nasca,42.69
D,Brandon Jones (42575293),Brandon Jones,42575293,D,8000,Suburban Propane 300,Nasca,27.06
D,Austin Hill (42575294),Austin Hill,42575294,D,7700,Suburban Propane 300,Nasca,38.53
D,Taylor Gray (42575295),Taylor Gray,42575295,D,7500,Suburban Propane 300,Nasca,19.99
D,Ryan Sieg (42575296),Ryan Sieg,42575296,D,7300,Suburban Propane 300,Nasca,25.72
D,Parker Retzlaff (42575297),Parker Retzlaff,42575297,D,7200,Suburban Propane 300,Nasca,36.84
D,Rajah Caruth (42575298),Rajah Caruth,42575298,D,7000,Suburban Propane 300,Nasca,26.38
D,Harrison Burton (42575299),Harrison Burton,42575299,D,6800,Suburban Propane 300,Nasca,13.12
D,Jeb Burton (42575300),Jeb Burton,42575300,D,6700,Suburban Propane 300,Nasca,24.24
D,Anthony Alfredo (42575301),Anthony Alfredo,42575301,D,6600,Suburban Propane 300,Nasca,23.9
D,Dean Thompson (42575302),Dean Thompson,42575302,D,6400,Suburban Propane 300,Nasca,19.39
D,Jeremy Clements (42575303),Jeremy Clements,42575303,D,6300,Suburban Propane 300,Nasca,14.82
D,Brennan Poole (42575304),Brennan Poole,42575304,D,6200,Suburban Propane 300,Nasca,33.92
D,Patrick Staropoli (42575305),Patrick Staropoli,42575305,D,6100,Suburban Propane 300,Nasca,21.65
D,Austin Green (42575306),Austin Green,42575306,D,6000,Suburban Propane 300,Nasca,14.56
D,Blaine Perkins (42575307),Blaine Perkins,42575307,D,5900,Suburban Propane 300,Nasca,22.24
D,Kyle Sieg (42575308),Kyle Sieg,42575308,D,5800,Suburban Propane 300,Nasca,11.11
D,Ryan Ellis (42575309),Ryan Ellis,42575309,D,5600,Suburban Propane 300,Nasca,20.01
D,JJ Yeley (42575310),JJ Yeley,42575310,D,5500,Suburban Propane 300,Nasca,21.67
D,Josh Williams (42575311),Josh Williams,42575311,D,5300,Suburban Propane 300,Nasca,17.8
D,Lavar Scott (42575312),Lavar Scott,42575312,D,5200,Suburban Propane 300,Nasca,23.63
D,Josh Bilicki (42575313),Josh Bilicki,42575313,D,5100,Suburban Propane 300,Nasca,20.49
D,Logan Bearden (42575314),Logan Bearden,42575314,D,5000,Suburban Propane 300,Nasca,0
D,Garrett Smithley (42575315),Garrett Smithley,42575315,D,4900,Suburban Propane 300,Nasca,19.4
D,Mason Maggio (42575316),Mason Maggio,42575316,D,4800,Suburban Propane 300,Nasca,8
D,Gray Gaulding (42575317),Gray Gaulding,42575317,D,4700,Suburban Propane 300,Nasca,0
D,Joey Gase (42575318),Joey Gase,42575318,D,4600,Suburban Propane 300,Nasca,17.83
D,Blake Lothian (42575319),Blake Lothian,42575319,D,4500,Suburban Propane 300,Nasca,19
