Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Kyle Busch (43055861),Kyle Busch,43055861,D,11700,ECOSAVE 200,Nasca,52.78
D,Kaden Honeycutt (43055862),Kaden Honeycutt,43055862,D,11500,ECOSAVE 200,Nasca,39.27
D,Christopher Bell (43055863),Christopher Bell,43055863,D,11000,ECOSAVE 200,Nasca,65.68
D,Carson Hocevar (43055864),Carson Hocevar,43055864,D,10700,ECOSAVE 200,Nasca,20.88
D,Layne Riggs (43055865),Layne Riggs,43055865,D,10500,ECOSAVE 200,Nasca,36.97
D,Ross Chastain (43055866),Ross Chastain,43055866,D,10000,ECOSAVE 200,Nasca,46.32
D,Chandler Smith (43055867),Chandler Smith,43055867,D,9500,ECOSAVE 200,Nasca,48.43
D,Ty Majeski (43055868),Ty Majeski,43055868,D,9200,ECOSAVE 200,Nasca,21.49
D,Giovanni Ruggiero (43055869),Giovanni Ruggiero,43055869,D,9000,ECOSAVE 200,Nasca,30.37
D,Christian Eckes (43055870),Christian Eckes,43055870,D,8800,ECOSAVE 200,Nasca,40.88
D,Brandon Jones (43055871),Brandon Jones,43055871,D,8500,ECOSAVE 200,Nasca,58.9
D,Clint Bowyer (43055872),Clint Bowyer,43055872,D,8000,ECOSAVE 200,Nasca,0
D,William Sawalich (43055873),William Sawalich,43055873,D,7800,ECOSAVE 200,Nasca,42.52
D,Grant Enfinger (43055874),Grant Enfinger,43055874,D,7500,ECOSAVE 200,Nasca,12.22
D,Tyler Ankrum (43055875),Tyler Ankrum,43055875,D,7300,ECOSAVE 200,Nasca,23.84
D,Ben Rhodes (43055876),Ben Rhodes,43055876,D,7100,ECOSAVE 200,Nasca,30.72
D,Tanner Gray (43055877),Tanner Gray,43055877,D,7000,ECOSAVE 200,Nasca,11.13
D,Daniel Hemric (43055878),Daniel Hemric,43055878,D,6900,ECOSAVE 200,Nasca,31.48
D,Stewart Friesen (43055879),Stewart Friesen,43055879,D,6700,ECOSAVE 200,Nasca,25.07
D,Jake Garcia (43055880),Jake Garcia,43055880,D,6600,ECOSAVE 200,Nasca,18.48
D,Justin Haley (43055881),Justin Haley,43055881,D,6500,ECOSAVE 200,Nasca,28.98
D,Corey LaJoie (43055882),Corey LaJoie,43055882,D,6300,ECOSAVE 200,Nasca,20.97
D,Andres Perez De Lara (43055883),Andres Perez De Lara,43055883,D,6200,ECOSAVE 200,Nasca,21.39
D,Parker Eatmon (43055884),Parker Eatmon,43055884,D,6100,ECOSAVE 200,Nasca,-4
D,Brenden Queen (43055885),Brenden Queen,43055885,D,6000,ECOSAVE 200,Nasca,33.86
D,Cole Butcher (43055886),Cole Butcher,43055886,D,5900,ECOSAVE 200,Nasca,8.79
D,Dawson Sutton (43055887),Dawson Sutton,43055887,D,5700,ECOSAVE 200,Nasca,25.87
D,Kris Wright (43055888),Kris Wright,43055888,D,5600,ECOSAVE 200,Nasca,16.63
D,Luke Baldwin (43055889),Luke Baldwin,43055889,D,5500,ECOSAVE 200,Nasca,13
D,Mini Tyrrell (43055890),Mini Tyrrell,43055890,D,5400,ECOSAVE 200,Nasca,27.69
D,Spencer Boyd (43055891),Spencer Boyd,43055891,D,5200,ECOSAVE 200,Nasca,23.67
D,Caleb Costner (43055892),Caleb Costner,43055892,D,5100,ECOSAVE 200,Nasca,17
D,Frankie Muniz (43055893),Frankie Muniz,43055893,D,5000,ECOSAVE 200,Nasca,22.14
D,Dystany Spurlock (43055894),Dystany Spurlock,43055894,D,4800,ECOSAVE 200,Nasca,0
D,Toni Breidinger (43055895),Toni Breidinger,43055895,D,4600,ECOSAVE 200,Nasca,34
D,Natalie Decker (43055896),Natalie Decker,43055896,D,4500,ECOSAVE 200,Nasca,5
