Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4941920185,mgmnx,0,154.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Oliver Bearman D Liam Lawson D Pierre Gasly,,Lando Norris,D,100.00%,36.9
2,4938662627,anilprao88,0,142.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Esteban Ocon,,McLaren,CNSTR,100.00%,48.7
2,4939300809,jdmercer,0,142.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Esteban Ocon,,Andrea Kimi Antonelli,D,92.31%,24
2,4942933261,giantsquid,0,142.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Esteban Ocon,,Isack Hadjar,D,84.62%,3
5,4943878280,CoolEditPros,0,141.6,CNSTR McLaren  CPT Oliver Bearman D Lando Norris D Andrea Kimi Antonelli D Isack Hadjar D Nico Hulkenberg,,Oliver Bearman,D,84.62%,14
6,4938436501,gwashko1,0,138.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Gabriel Bortoleto,,Pierre Gasly,D,30.77%,7
6,4942040637,reido017,0,138.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Gabriel Bortoleto,,Esteban Ocon,D,30.77%,4
6,4943402298,mbhabes,0,138.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Gabriel Bortoleto,,Gabriel Bortoleto,D,23.08%,0
9,4940992549,maxwell52361,0,135.1,CNSTR McLaren  CPT Isack Hadjar D Lando Norris D Andrea Kimi Antonelli D Oliver Bearman D Pierre Gasly,,Lance Stroll,D,15.38%,1
10,4942355180,jpn487,0,134.6,CNSTR McLaren  CPT Oliver Bearman D Lando Norris D Andrea Kimi Antonelli D Isack Hadjar D Franco Colapinto,,Franco Colapinto,D,15.38%,1
11,4942369069,109stairs,0,134.05,CNSTR McLaren  CPT Lando Norris D Andrea Kimi Antonelli D Esteban Ocon D Lance Stroll D Franco Colapinto,,Nico Hulkenberg,D,7.69%,8
12,4943222379,brian7427,0,129.05,CNSTR McLaren  CPT Lando Norris D Isack Hadjar D Oliver Bearman D Pierre Gasly D Lance Stroll,,Liam Lawson,D,7.69%,12
13,4943964017,ckk-244ayk,0,122.1,CNSTR McLaren  CPT Isack Hadjar D Lando Norris D Andrea Kimi Antonelli D Pierre Gasly D Yuki Tsunoda,,Yuki Tsunoda,D,7.69%,1
