Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4944424250,rogercrew44,0,150.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Nico Hulkenberg D Oliver Bearman D Pierre Gasly,,Lando Norris,D,100.00%,36.9
2,4944453560,gwashko1,0,138.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Gabriel Bortoleto,,Andrea Kimi Antonelli,D,100.00%,24
2,4944484246,reido017,0,138.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Gabriel Bortoleto,,McLaren,CNSTR,100.00%,48.7
4,4944480926,109stairs,0,134.05,CNSTR McLaren  CPT Lando Norris D Andrea Kimi Antonelli D Yuki Tsunoda D Esteban Ocon D Lance Stroll,,Oliver Bearman,D,75.00%,14
,,,,,,,Isack Hadjar,D,50.00%,3
,,,,,,,Gabriel Bortoleto,D,50.00%,0
,,,,,,,Nico Hulkenberg,D,25.00%,8
,,,,,,,Pierre Gasly,D,25.00%,7
,,,,,,,Yuki Tsunoda,D,25.00%,1
,,,,,,,Esteban Ocon,D,25.00%,4
,,,,,,,Lance Stroll,D,25.00%,1
