Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4944319218,mgmnx,0,154.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Oliver Bearman D Liam Lawson D Pierre Gasly,,Lando Norris,D,100.00%,36.9
2,4944105519,kgdobby,0,138.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Gabriel Bortoleto,,McLaren,CNSTR,100.00%,48.7
3,4944079409,c2luckey,0,134.05,CNSTR McLaren  CPT Lando Norris D Nico Hulkenberg D Oliver Bearman D Pierre Gasly D Yuki Tsunoda,,Andrea Kimi Antonelli,D,75.00%,24
4,4944080636,109stairs,0,133.05,CNSTR McLaren  CPT Lando Norris D Andrea Kimi Antonelli D Gabriel Bortoleto D Esteban Ocon D Franco Colapinto,,Oliver Bearman,D,75.00%,14
,,,,,,,Pierre Gasly,D,50.00%,7
,,,,,,,Gabriel Bortoleto,D,50.00%,0
,,,,,,,Isack Hadjar,D,25.00%,3
,,,,,,,Nico Hulkenberg,D,25.00%,8
,,,,,,,Liam Lawson,D,25.00%,12
,,,,,,,Yuki Tsunoda,D,25.00%,1
,,,,,,,Esteban Ocon,D,25.00%,4
,,,,,,,Franco Colapinto,D,25.00%,1
