Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4938433801,cdem06811,0,646.98,F Gabriel Bonfim F Josh Hokit F Joseph Morales F Chris Padilla F Christian Leroy Duncan F Jamall Emmers,,Josh Hokit,F,78.95%,139.24
2,4936704425,dschryer,0,577.2,F Gabriel Bonfim F Josh Hokit F Chris Padilla F Christian Leroy Duncan F Hyder Amil F Zach Reese,,Muslim Salikhov,F,63.16%,0.8
3,4936572649,molecul0,0,548.08,F Gabriel Bonfim F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Jamall Emmers,,Zach Reese,F,63.16%,111.92
4,4940947813,ckk-244ayk,0,482.54,F Mayra Bueno Silva F Gabriel Bonfim F Josh Hokit F Matt Schnell F Daniel Marcos F Zach Reese,,Gabriel Bonfim,F,57.89%,94
5,4940007322,mayamaya,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Chris Padilla,F,57.89%,106.43
5,4940500033,moklovin,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Hyder Amil,F,47.37%,25.91
5,4940866914,F0rsaken,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Joseph Morales,F,42.11%,100.56
8,4939761284,SunTszu,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Christian Leroy Duncan,F,31.58%,99.7
8,4941258873,awiz1021,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Randy Brown,F,26.32%,13.2
10,4937387892,mkulkarni77,0,471.38,F Mayra Bueno Silva F Josh Hokit F Joseph Morales F Muslim Salikhov F Christian Leroy Duncan F Zach Reese,,Mayra Bueno Silva,F,21.05%,19.16
10,4937433701,pracks12,0,471.38,F Mayra Bueno Silva F Josh Hokit F Joseph Morales F Muslim Salikhov F Christian Leroy Duncan F Zach Reese,,Denise Gomes,F,15.79%,82.53
12,4941645935,jhockey,0,453.98,F Denise Gomes F Randy Brown F Uros Medic F Chris Padilla F Ricky Simon F Zach Reese,,Ricky Simon,F,15.79%,36.35
13,4940982247,NextlevelK,0,442.18,F Denise Gomes F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Christian Leroy Duncan F Hyder Amil,,Matt Schnell,F,10.53%,12.25
14,4940914639,balystic,0,394.63,F Gabriel Bonfim F Uros Medic F Chris Padilla F Ricky Simon F Marco Tulio F Hyder Amil,,Uros Medic,F,10.53%,103.55
15,4941237959,cusumano3231,0,394.37,F Randy Brown F Joseph Morales F Chris Padilla F Ricky Simon F Hyder Amil F Zach Reese,,Ismael Bonfim,F,10.53%,23.25
16,4941769491,whyguy223,0,384.88,F Mayra Bueno Silva F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Zach Reese,,Marco Tulio,F,10.53%,28.39
17,4941103986,jarrodsmiley,0,375.51,F Gabriel Bonfim F Josh Hokit F Matt Schnell F Muslim Salikhov F Ismael Bonfim F Daniel Marcos,,Jamall Emmers,F,10.53%,107.05
18,4941878303,msteiny99,0,322.99,F Josh Hokit F Muslim Salikhov F Ismael Bonfim F Christian Leroy Duncan F Hyder Amil F Jackson McVey,,Daniel Marcos,F,10.53%,105.97
19,4941648996,danielmoneymaker,0,314.72,F Denise Gomes F Gabriel Bonfim F Raoni Barcelos F Marco Tulio F Hyder Amil F Miles Johns,,Raoni Barcelos,F,5.26%,68.87
,,,,,,,Miles Johns,F,5.26%,15.02
,,,,,,,Jackson McVey,F,5.26%,34.09
