Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4940009168,mayamaya,0,495.74,F Mayra Bueno Silva F Gabriel Bonfim F Josh Hokit F Joseph Morales F Chris Padilla F Ricky Simon,,Gabriel Bonfim,F,81.82%,94
1,4941488231,Laydowndead,0,495.74,F Mayra Bueno Silva F Gabriel Bonfim F Josh Hokit F Joseph Morales F Chris Padilla F Ricky Simon,,Joseph Morales,F,81.82%,100.56
3,4936571563,molecul0,0,485.3,F Mayra Bueno Silva F Gabriel Bonfim F Josh Hokit F Joseph Morales F Chris Padilla F Hyder Amil,,Chris Padilla,F,81.82%,106.43
4,4941277333,brownie8106,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Randy Brown,F,63.64%,13.2
5,4940687160,JLUDEOBV,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Josh Hokit,F,63.64%,139.24
6,4938314285,brknets23,0,452.02,F Gabriel Bonfim F Randy Brown F Joseph Morales F Chris Padilla F Hyder Amil F Zach Reese,,Hyder Amil,F,63.64%,25.91
6,4939881964,medicine,0,452.02,F Gabriel Bonfim F Randy Brown F Joseph Morales F Chris Padilla F Hyder Amil F Zach Reese,,Zach Reese,F,63.64%,111.92
6,4940252225,ztrivett21,0,452.02,F Gabriel Bonfim F Randy Brown F Joseph Morales F Chris Padilla F Hyder Amil F Zach Reese,,Mayra Bueno Silva,F,36.36%,19.16
6,4940660134,Fireball21,0,452.02,F Gabriel Bonfim F Randy Brown F Joseph Morales F Chris Padilla F Hyder Amil F Zach Reese,,Muslim Salikhov,F,27.27%,0.8
10,4941221394,CoachS111,0,384.88,F Mayra Bueno Silva F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Zach Reese,,Ricky Simon,F,27.27%,36.35
11,4938849364,moklovin,0,377.57,F Gabriel Bonfim F Randy Brown F Josh Hokit F Raoni Barcelos F Ricky Simon F Hyder Amil,,Raoni Barcelos,F,9.09%,68.87
