Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4941233437,mbhabes,0,548.08,F Gabriel Bonfim F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Jamall Emmers,,Josh Hokit,F,100.00%,139.24
2,4941207578,MattK_66,0,499.14,F Mayra Bueno Silva F Gabriel Bonfim F Josh Hokit F Chris Padilla F Marco Tulio F Zach Reese,,Muslim Salikhov,F,70.00%,0.8
3,4940303659,needlunchmoney,0,494.12,F Mayra Bueno Silva F Randy Brown F Josh Hokit F Uros Medic F Jamall Emmers F Zach Reese,,Zach Reese,F,70.00%,111.92
4,4938370606,mayamaya,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Gabriel Bonfim,F,60.00%,94
4,4939662007,darko3131,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Chris Padilla,F,60.00%,106.43
6,4936546405,leom76,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Randy Brown,F,50.00%,13.2
6,4940581021,Kennyw1732,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Joseph Morales,F,40.00%,100.56
8,4936573163,molecul0,0,442.18,F Denise Gomes F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Christian Leroy Duncan F Hyder Amil,,Hyder Amil,F,40.00%,25.91
9,4939539112,CoachS111,0,384.88,F Mayra Bueno Silva F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Zach Reese,,Mayra Bueno Silva,F,30.00%,19.16
10,4938857631,moklovin,0,377.57,F Gabriel Bonfim F Randy Brown F Josh Hokit F Raoni Barcelos F Ricky Simon F Hyder Amil,,Jamall Emmers,F,20.00%,107.05
,,,,,,,Denise Gomes,F,10.00%,82.53
,,,,,,,Uros Medic,F,10.00%,103.55
,,,,,,,Raoni Barcelos,F,10.00%,68.87
,,,,,,,Ricky Simon,F,10.00%,36.35
,,,,,,,Marco Tulio,F,10.00%,28.39
,,,,,,,Christian Leroy Duncan,F,10.00%,99.7
