Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4941859542,andrewgombas,0,584.36,F Mayra Bueno Silva F Josh Hokit F Joseph Morales F Chris Padilla F Jamall Emmers F Zach Reese,,Josh Hokit,F,77.27%,139.24
2,4941752928,TheMish,0,577.2,F Gabriel Bonfim F Josh Hokit F Chris Padilla F Christian Leroy Duncan F Hyder Amil F Zach Reese,,Chris Padilla,F,72.73%,106.43
3,4938370636,mayamaya,0,548.08,F Gabriel Bonfim F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Jamall Emmers,,Zach Reese,F,63.64%,111.92
4,4940966329,OneDropKing,0,538,F Gabriel Bonfim F Josh Hokit F Uros Medic F Chris Padilla F Raoni Barcelos F Hyder Amil,,Muslim Salikhov,F,59.09%,0.8
5,4940303717,needlunchmoney,0,494.12,F Mayra Bueno Silva F Randy Brown F Josh Hokit F Uros Medic F Jamall Emmers F Zach Reese,,Hyder Amil,F,54.55%,25.91
6,4940994587,Frankster8822,0,483.78,F Mayra Bueno Silva F Randy Brown F Josh Hokit F Joseph Morales F Christian Leroy Duncan F Zach Reese,,Joseph Morales,F,50.00%,100.56
7,4941424774,squirrelpatroldk,0,478.91,F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Hyder Amil F Daniel Marcos,,Randy Brown,F,45.45%,13.2
8,4936706224,dschryer,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Gabriel Bonfim,F,40.91%,94
8,4939529950,CoachS111,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Jamall Emmers,F,22.73%,107.05
8,4941203331,MattK_66,0,478.3,F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,Denise Gomes,F,18.18%,82.53
11,4937118926,NixPic,0,476.98,F Denise Gomes F Gabriel Bonfim F Raoni Barcelos F Christian Leroy Duncan F Hyder Amil F Daniel Marcos,,Uros Medic,F,18.18%,103.55
12,4937331120,exmo,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Christian Leroy Duncan,F,18.18%,99.7
12,4940689778,JLUDEOBV,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Mayra Bueno Silva,F,13.64%,19.16
12,4940955682,darko3131,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Raoni Barcelos,F,13.64%,68.87
12,4941807499,Kennyw1732,0,472.15,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Zach Reese,,Marco Tulio,F,13.64%,28.39
16,4939974784,leom76,0,467.55,F Randy Brown F Joseph Morales F Chris Padilla F Marco Tulio F Jamall Emmers F Zach Reese,,Ricky Simon,F,9.09%,36.35
17,4936581369,molecul0,0,442.18,F Denise Gomes F Gabriel Bonfim F Josh Hokit F Muslim Salikhov F Christian Leroy Duncan F Hyder Amil,,Daniel Marcos,F,9.09%,105.97
18,4936488581,mbhabes,0,439.62,F Gabriel Bonfim F Joseph Morales F Muslim Salikhov F Chris Padilla F Hyder Amil F Zach Reese,,,
19,4941721248,mrgoodseats,0,409.29,F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Ricky Simon F Hyder Amil,,,
20,4940500019,moklovin,0,408.56,F Randy Brown F Josh Hokit F Muslim Salikhov F Ricky Simon F Jamall Emmers F Zach Reese,,,
21,4936090324,NoWay_KemoSabi,0,360.01,F Denise Gomes F Randy Brown F Uros Medic F Chris Padilla F Marco Tulio F Hyder Amil,,,
22,4941500254,nerdytenor,0,322.45,F Denise Gomes F Randy Brown F Uros Medic F Raoni Barcelos F Marco Tulio F Hyder Amil,,,
