Tour,surface,best_of,w_dk_score,l_dk_score,WIO,LIO,straight_sets
ATP,Hard,5,98.9,-4.3,0.578431373,0.421568627,1
ATP,Hard,5,96.8,-2.3,0.911764706,0.088235294,1
WTA,Hard,3,96.5,0,0.941747573,0.058252427,1
WTA,Hard,3,96.5,0,0.922330097,0.077669903,1
ATP,Hard,3,81,7.5,0.970588235,0.029411765,1
ATP,Clay,3,62.75,28.25,0.970588235,0.029411765,0
WTA,Hard,3,96.5,0,0.766990291,0.233009709,1
WTA,Hard,3,96.5,0,0.747572816,0.252427184,1
WTA,Clay,3,96.5,0,0.689320388,0.310679612,1
WTA,Hard,3,96.5,0,0.660194175,0.339805825,1
WTA,Hard,3,96.5,0,0.631067961,0.368932039,1
WTA,Hard,3,96.5,0,0.59223301,0.40776699,1
WTA,Hard,3,96.5,0,0.576923077,0.423076923,1
WTA,Hard,3,96.5,0,0.533980583,0.466019417,1
WTA,Hard,3,96.5,0,0.533980583,0.466019417,1
ATP,Hard,5,93.6,2.2,0.62745098,0.37254902,1
ATP,Hard,5,92.2,-0.3,0.676470588,0.323529412,1
ATP,Clay,5,91.6,2.7,0.796116505,0.203883495,1
ATP,Clay,5,91.6,2.7,0.660194175,0.339805825,1
WTA,Grass,3,91.25,3.25,0.883495146,0.116504854,1
WTA,Hard,3,91.25,3.25,0.873786408,0.126213592,1
WTA,Hard,3,91.25,3.25,0.441176471,0.558823529,1
ATP,Clay,5,91.1,2.2,0.911764706,0.088235294,1
ATP,Hard,5,91.1,2.2,0.81372549,0.18627451,1
ATP,Clay,5,91.1,2.2,0.735294118,0.264705882,1
ATP,Clay,5,90.9,5.6,0.970588235,0.029411765,1
ATP,Hard,5,90.6,1.7,0.911764706,0.088235294,1
ATP,Clay,5,90.6,1.7,0.5,0.5,1
ATP,Hard,3,85.75,8.25,0.961165049,0.038834951,1
WTA,Hard,3,90.5,2.5,0.932038835,0.067961165,1
WTA,Hard,3,90.5,2.5,0.912621359,0.087378641,1
ATP,Hard,3,74.25,15,0.961165049,0.038834951,1
WTA,Hard,3,90.5,2.5,0.825242718,0.174757282,1
WTA,Hard,3,90.5,2.5,0.825242718,0.174757282,1
ATP,Clay,3,73.5,19.5,0.961165049,0.038834951,1
WTA,Hard,3,90.5,2.5,0.766990291,0.233009709,1
WTA,Grass,3,90.5,2.5,0.766990291,0.233009709,1
WTA,Hard,3,90.5,2.5,0.747572816,0.252427184,1
WTA,Hard,3,90.5,2.5,0.705882353,0.294117647,1
WTA,Hard,3,90.5,2.5,0.705882353,0.294117647,1
WTA,Hard,3,90.5,2.5,0.67961165,0.32038835,1
WTA,Hard,3,90.5,2.5,0.676470588,0.323529412,1
WTA,Hard,3,90.5,3.25,0.676470588,0.323529412,1
WTA,Hard,3,90.5,2.5,0.582524272,0.417475728,1
WTA,Hard,3,90.5,2.5,0.567307692,0.432692308,1
WTA,Hard,3,90.5,2.5,0.549019608,0.450980392,1
WTA,Hard,3,90.5,3.25,0.504854369,0.495145631,1
WTA,Hard,3,90.5,2.5,0.401960784,0.598039216,1
ATP,Hard,3,73,23.5,0.961165049,0.038834951,1
WTA,Hard,3,90.5,2.5,0.262135922,0.737864078,1
ATP,Clay,3,89.75,2.5,0.960784314,0.039215686,1
ATP,Clay,5,90,4.7,0.970588235,0.029411765,1
ATP,Hard,5,90,4.7,0.901960784,0.098039216,1
ATP,Clay,5,89.9,4.6,0.902912621,0.097087379,1
ATP,Clay,3,80.5,11.5,0.960784314,0.039215686,1
ATP,Clay,3,80.25,17.75,0.960784314,0.039215686,0
WTA,Hard,3,89.75,2.5,0.941747573,0.058252427,1
ATP,Hard,3,72.75,18.75,0.960784314,0.039215686,1
ATP,Hard,3,68.75,24.5,0.960784314,0.039215686,1
WTA,Hard,3,89.75,2.5,0.912621359,0.087378641,1
ATP,Clay,3,72.25,18.25,0.96039604,0.03960396,1
WTA,Hard,3,89.75,2.5,0.854368932,0.145631068,1
WTA,Hard,3,89.75,2.5,0.862745098,0.137254902,1
WTA,Hard,3,89.75,2.5,0.844660194,0.155339806,1
WTA,Hard,3,89.75,2.5,0.843137255,0.156862745,1
WTA,Hard,3,89.75,2.5,0.815533981,0.184466019,1
ATP,Hard,3,89.75,2.5,0.951456311,0.048543689,1
WTA,Hard,3,89.75,2.5,0.805825243,0.194174757,1
WTA,Hard,3,89.75,2.5,0.81372549,0.18627451,1
ATP,Hard,3,81.75,8.25,0.951456311,0.048543689,1
WTA,Hard,3,89.75,2.5,0.786407767,0.213592233,1
WTA,Hard,3,89.75,2.5,0.774509804,0.225490196,1
ATP,Hard,3,77.75,14,0.951456311,0.048543689,1
WTA,Hard,3,89.75,2.5,0.766990291,0.233009709,1
WTA,Grass,3,89.75,2.5,0.759615385,0.240384615,1
WTA,Hard,3,89.75,2.5,0.757281553,0.242718447,1
